Year,Li_EOL_BAU_recovered,Li_EOL_Moderate_recovered,Li_EOL_Aggressive_recovered,Li_EOL_BAU_loss,Li_EOL_Moderate_loss,Li_EOL_Aggressive_loss
2026,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.9038044130557694,0.9107036833844394,0.9162230996473754,0.47604965267822963,0.46915038234955964,0.4636309660866237
2028,10.298262718405127,10.454297002017325,10.579124428907082,5.30516564281476,5.149131359202562,5.0243039323128045
2029,42.81654712388121,43.78233390111161,44.55496332289594,21.569238024812336,20.60345124758193,19.830821825797607
2030,117.60741873600305,121.11808795200312,123.9266233248032,57.92604206400149,54.415372848001425,51.606837475201345
2031,256.83544465806307,266.3478685342876,273.9578076352673,123.66151039091926,114.14908651469472,106.53914741371506
2032,483.89430248520495,505.2425805360228,522.3212029766771,227.71496587539053,206.3666878245727,189.28806538391837
2033,820.9866508626646,862.934873899443,896.4934523288658,377.53400733100625,335.5857842942279,302.02720586480507
2034,1286.0270971137463,1360.5793925986013,1420.2212289864851,577.7802900076254,503.22799452277036,443.58615813488655
2035,1889.0960455765826,2011.4116168729083,2109.2640739099684,829.0277610084286,706.7121897121028,608.8597326750428
2036,2628.972807314777,2816.756579265833,2966.9835968266775,1126.7026317063332,938.9188597552775,788.6918421944329
2037,3490.323019103917,3762.617722721953,3980.4534856163823,1460.4897739512849,1188.1950703332486,970.3593074388195
2038,4441.070245489662,4816.371956376112,5116.613325085272,1813.9582692845097,1438.6565583980591,1138.4151896888998
2039,5431.594092653086,5925.3753738033665,6320.400398723592,2165.041001966615,1671.2597208163343,1276.2346958961089
2040,6400.573523811837,7022.8515052935445,7520.673890478909,2489.111925926826,1866.8339444451185,1369.011559259754
2041,7284.290262029584,8037.837530515403,8640.675345304058,2763.0066511146697,2009.45938262885,1406.621567840195
2042,8026.2040981628825,8905.78810892046,9609.455317526521,2968.5960363068198,2089.012025549242,1385.3448169431813
2043,8585.548178587516,9578.434702641855,10372.743921885325,3095.4697514635263,2102.583227409188,1308.2740081657175
2044,8943.129270607997,10030.80715487113,10900.94946228164,3142.1805545379448,2054.502670274811,1184.3603628643014
2045,9103.122216400232,10263.923035941201,11192.563691573976,3115.8337787678647,1955.0329592268954,1026.3923035941207
2046,9090.796586450073,10302.902797976749,11272.58776719809,3030.2655288166898,1818.1593172900139,848.474348068672
2047,8947.223575247259,10191.539436705487,11186.99212587207,2903.403676735865,1659.0878152776368,663.635126111054
2048,8722.553469178396,9985.028313401586,10995.008188780137,2754.490569214231,1492.0157249910408,482.03584961249
2049,8469.252433418384,9742.408027984546,10760.932503637476,2601.6657802004192,1328.5101856342571,309.9857099813271
2050,8236.034029094033,9519.571799861933,10546.402016476253,2460.114060638476,1176.5762898705761,149.74607325625584
