Year,Li_BAU_virgin,Li_Moderate_virgin,Li_Aggressive_virgin,Li_BAU_recycled,Li_Moderate_recycled,Li_Aggressive_recycled
2026,14167.800475037344,14167.800475037344,14167.800475037344,0.0,0.0,0.0
2027,14096.961472662157,13997.786869336896,13955.283467911784,70.83900237518672,170.01360570044812,212.51700712556016
2028,14026.122470286971,13827.773263636447,13742.766460786224,141.67800475037345,340.02721140089625,425.0340142511203
2029,13955.283467911784,13657.759657936,13530.249453660663,212.51700712556016,510.0408171013443,637.5510213766804
2030,13884.444465536597,13487.74605223555,13317.732446535103,283.3560095007469,680.0544228017925,850.0680285022406
2031,13813.60546316141,13317.732446535103,13105.215439409543,354.19501187593363,850.0680285022406,1062.5850356278008
2032,13742.766460786224,13147.718840834656,12892.698432283983,425.0340142511203,1020.0816342026886,1275.1020427533608
2033,13671.927458411037,12977.705235134206,12680.181425158422,495.8730166263071,1190.0952399031369,1487.619049878921
2034,13601.08845603585,12807.691629433759,12467.664418032862,566.7120190014938,1360.108845603585,1700.1360570044812
2035,13530.249453660663,12637.678023733311,12255.147410907302,637.5510213766804,1530.122451304033,1912.6530641300415
2036,10340.879240571043,9578.919717581597,9252.365636300407,544.256802135318,1306.2163251247632,1632.7704064059542
2037,4678.518089437177,4297.305504371925,4133.928682201104,272.29470361803675,653.5072886832883,816.8841108541103
2038,5879.726803887717,5354.304408646687,5129.123382114817,375.30171088645,900.72410612748,1125.90513265935
2039,7102.853813469424,6411.560019859031,6115.291251168862,493.7812811502808,1185.075074760674,1481.3438434508423
2040,8267.407468256954,7396.218294182565,7022.851505293541,622.2779814817062,1493.467155556095,1866.8339444451185
2041,9293.749644658443,8238.783468778296,7786.655107686804,753.5472684858197,1808.5134443659672,2260.641805457459
2042,10115.216123712122,8883.798508651515,8356.04810219697,879.5840107575758,2111.0016258181818,2638.7520322727273
2043,10688.131405996703,9298.090272320629,8702.358357888024,992.8865240543386,2382.927657730412,2978.6595721630156
2044,10997.631940882806,9474.882902914418,8822.276172356538,1087.6778842631347,2610.426922231523,3263.033652789404
2045,11058.155175627115,9433.03402826976,8736.55353654518,1160.8008195409677,2785.921966898323,3482.402458622903
2046,10908.95590374009,9212.007207602743,8484.743480686737,1212.1062115266766,2909.0549076640236,3636.31863458003
2047,10606.311390524917,8864.269184483393,8117.679667608456,1244.3158614582305,2986.3580674997534,3732.9475843746914
2048,10214.569194169439,8447.104412256973,7689.61950572306,1262.474844223189,3029.9396261356537,3787.4245326695673
2049,9797.762619052619,8015.344786659996,7251.4514299203,1273.1555945661596,3055.573426958783,3819.4667836984786
2050,9412.610318964616,7615.657439889554,6845.534777428811,1283.5377707679022,3080.490649842965,3850.6133123037066
