Year,Bau,Moderate,Aggressive
2026,0.0,0.0,0.0
2027,0.6,1.2,1.7999999999999998
2028,1.2,2.4,3.5999999999999996
2029,1.7999999999999998,3.5999999999999996,5.3999999999999995
2030,2.4,4.8,7.199999999999999
2031,3.0,6.0,9.0
2032,3.5999999999999996,7.199999999999999,10.799999999999999
2033,4.2,8.4,12.600000000000001
2034,4.8,9.6,14.399999999999999
2035,5.3999999999999995,10.799999999999999,16.2
2036,6.0,12.0,18.0
2037,6.6,13.2,19.799999999999997
2038,7.199999999999999,14.399999999999999,21.599999999999998
2039,7.8,15.6,23.4
2040,8.4,16.8,25.200000000000003
2041,9.0,18.0,27.0
2042,9.6,19.2,28.799999999999997
2043,10.2,20.4,30.599999999999998
2044,10.799999999999999,21.599999999999998,32.4
2045,11.4,22.8,34.2
2046,12.0,24.0,36.0
2047,12.6,25.2,37.8
2048,13.2,26.4,39.599999999999994
2049,13.799999999999999,27.599999999999998,41.4
2050,14.399999999999999,28.799999999999997,43.199999999999996
